	comment	hahstags	Nome	Posicionamento
43	Sem a reforma o Brasil quebra. Não queremos virar uma Grécia! Pensem no Brasil, e não no poder. #NovaPrevidênciaÉParaTodos	[['NovaPrevidênciaÉParaTodos']]	PEC 6/2019	Positivo
44	"Fim da aposentadoria especial para parlamentares, onde quem exercia função parlamentar por 30 anos ganhava uma aposentadoria vitalícia de R$35 mil por ano. Todos terão a mesma aposentadoria
#EuApoioNovaPrevidencia"	[['EuApoioNovaPrevidencia']]	PEC 6/2019	Positivo
45	"Querer criminalizar oque pessoas consomem é uma forma absurda de censura e repressão da liberdade dos cidadãos,não aceitaremos essa palhaçada!
#SomosGamersNaoAssassinos "	[['SomosGamersNaoAssassinos']]	PL 1577/2019	Negativo
46	O povo não pode pagar uma divida q não é dele! Capitalização pra atender interesses do sistema financeiro, não! !! #nãoareformadaprevidencia	[['nãoareformadaprevidencia']]	PEC 6/2019	Negativo
47	"Professor e outros trabalhadores não podem passar por essa reforma.
Gostaria de saber quando vão diminuir os privilégios dos políticos e cobrar as dividas dos banqueiros!
#forabolsonaro
#cadeoqueiroz"	[['forabolsonaro', 'cadeoqueiroz']]	PEC 6/2019	Negativo
48	Acaba com a aposentadoria diferenciada dos professores. #forabolsonaro.	[['forabolsonaro']]	PEC 6/2019	Negativo
49	"A reforma da previdência visa gerar lucro ao capital privado, a população do campo que sustenta a basa da alimentação das pessoas será EXCLUÍDA

!!! #FORAPEC6"	[['FORAPEC6']]	PEC 6/2019	Negativo
50	Onde um ser humano vai dar conta de trabalhar tanto? Um aviso:Esqueçam de nós agora e esqueceremos de vcs nas urnas E Jair Bolsonaro.Subimos a # Elesim mas podemos subir a # Ele não.	[[]]	PEC 6/2019	Negativo
51	"Acaba com as aposentadorias dos marajás,
 que recebem uma fortuna na custa dos mais pobres.
#ninguémacimadoteto."	[['ninguémacimadoteto']]	PEC 6/2019	Positivo
52	Tudo. Altera apenas a aposentadoria do trabalhador de verdade e dos idosos tornando os mais pobres. Kd a reforma política, judiciária e militar?? Pensão de 100% para as viúvas e filhas de militares é um absurdo. #SouContraAReformaDaPrevidencia 	[['SouContraAReformaDaPrevidencia']]	PEC 6/2019	Negativo
53	"Tirar direitos da população não é a solução do país. #nãoareformadamorte
#nãoaextincaodarescisao
#naoaoregimedecapitalizacao
#naoamaiortempodecontribuicao
"	[['nãoareformadamorte', 'nãoaextincaodarescisao', 'naoaoregimedecapitalizacao', 'naoamaiortempodecontribuicao']]	PEC 6/2019	Negativo
54	Se não for aprovada não conseguiremos pagar mais alguns bilhões para os banqueiros através da dívida pública, e os coitados não poderão comprar hiates, carros de luxo e etc. #forçabanqueiros	[['forçabanqueiros']]	PEC 6/2019	Negativo
55	O Brasil está envelhecendo, e essa proposta atual é muito retrógrada, não acompanha o Desenvolvimento do país, #reformajá	[['reformajá']]	PEC 6/2019	Positivo
56	Tirando do pobre, como sempre. Porque não tiram do# ricos, que já nos exploram tanto? Porque não tributam grandes fortunas, heranças, dividendos... Tirar a aposentadoria do pobre é muita maldade.	[[]]	PEC 6/2019	Negativo
57	Não precisa saber muito sobre economia pra entender que a reforma é viável, basta ver quem esta contra ela, e quem está a favor, se é o PT que esta contra,  não precisa-se dizer mais nada!  #AfavordaReforma	[['AfavordaReforma']]	PEC 6/2019	Positivo
59	"Sou gamer, não sou assassino!
#somos gamers e não assassinos"	[['somos']]	PL 1577/2019	Negativo
60	"Diferença de aposentadoria para mesma profissão: policial militar # policial civil
"	[[]]	PEC 6/2019	Negativo
62	"Estão elaborando a reforma da previdência sem ouvir a classe trabalhadora deste país. Aonde vamos parar? Poderia ao menos debater com os trabalhadores?! E a
 classe do topo de pirâmide, continua intocável?! #DigaNãoaReformadaPrevidência"	[['DigaNãoaReformadaPrevidência']]	PEC 6/2019	Negativo
63	"O Brasil necessita dessa reforma para voltar a crescer de novo ,Além de acabar com a maior fábrica de desigualdades desse país ,Não podemos ser uma Grécia da vida as gerações futuras dependem disso ! #OBrasilQuerReforma #ReformaDaPrevidência 
"	[['OBrasilQuerReforma', 'ReformaDaPrevidência']]	PEC 6/2019	Positivo
64	SEMPRE O MAIS POBRE QUE PAGA O PREÇO. #NÃOAREFORMA	[['NÃOAREFORMA']]	PEC 6/2019	Negativo
66	"Desumana, absurda, morreremos sem aposentadoira, previdência particular não se sustenta, assassinato de velhos...é isso o que esta reforma pretende...destruir o trabalhador  #Seaprovarnãovaivoltar
"	[['Seaprovarnãovaivoltar']]	PEC 6/2019	Negativo
83	"A derrubada do decreto irá beneficiar apenas os criminosos.  
Políticos tem segurança e carros blindados, pagos pela população. Não tem o direito de negar esse direito aos cidadãos de bem. 
RESPEITEM O REFERENDO DE 2005.
#euapoioodecretodasarmas
"	[['euapoioodecretodasarmas']]	PDL 232/2019	Negativo
84	"Os parlamentares eleito pelo povo têm que respeitar a soberania que o POVO tem, e nós queremos ter o direito ao porte vcs têm que respeitar essa decisão. 
Acabou a demagogia o Brasil já não aceita mais essa manipulação que outrora era normal.
#porte de arma já."	[['porte']]	PDL 232/2019	Negativo
85	Senadores hipócritas que não se preocupam com o desejo de seus eleitores,nos privam do mínimo direito a defesa enquanto andam de carros blindados e segurança armada.#SenadoVergonhaNacional	[['SenadoVergonhaNacional']]	PDL 232/2019	Negativo
86	É inconstitucional violar o direito de defesa pessoal do cidadão! #euapoioodecretodasarmas	[['euapoioodecretodasarmas']]	PDL 232/2019	Negativo
87	"Não existe direito a vida se não existir direito de defesa.
#posedearmaparaocidadaodebem"	[['posedearmaparaocidadaodebem']]	PDL 232/2019	Positivo
88	"O referendo de 2005 não foi respeitado. Os bandidos que deveriam não ter armas, são os que mais possuem armas.
Cidadão de bem trm que possuir armas se assim desejar. Qualquer país de primeiro mundo é assim. #ArmasSim pra quem preencher os requisitos. "	[['ArmasSim']]	PDL 232/2019	Negativo
89	"Vocês querem nos tirar direitos. O cidadão quer ter o direito a portar e possuir uma arma de fogo preenchendo os quesitos legais. Voces armaram os bandidos e nos deixaram à mercer da violencia desenfreada. A quem interessa isso? 
#naoaodesarmamento."	[['naoaodesarmamento']]	PDL 232/2019	Negativo
90	O cidadão tem o direito de querer se defender ou não! PDL 232/2019 já! #DefesaDoCidadão	[['DefesaDoCidadão']]	PDL 232/2019	Negativo
91	"#A favor da Legítima Defesa.

Parem de achar que vocês possuem condições de dizer o que o cidadão de bem tem ou  não condições de fazer com sua própria vida e segurança."	[['A']]	PDL 232/2019	Negativo
92	Direito de defesa pra nois cac e defesa pra nossa família ..compra arma quem quer #17 concordo plenamente 👍	[['17']]	PDL 232/2019	Positivo
93	"Tenho o direito de me defender e quero me defender, o estado não dar conta e armas salvam vidas #ArmamentoJá.
"	[['ArmamentoJá']]	PDL 232/2019	Negativo
94	A proposta tira o direito de defesa do cidadão, por isso sou totalmente contra #euapoioodecretodearmas	[['euapoioodecretodearmas']]	PDL 232/2019	Negativo
95	Nao queremos nada diferente do decreto do Presidente Jair Bolsonar . Rodrigo Maia nao nos representa, muito menos o #CentraoBlocoDeLadrao	[['CentraoBlocoDeLadrao']]	PDL 232/2019	Negativo
96	"Se o ladrão pode, porque o cidadão de bem não? #PORTEDEARMASJÁ!
"	[['PORTEDEARMASJÁ']]	PDL 232/2019	Positivo
97	Vivem com segurança armada enquanto a população anda desarmada e sem segurança nenhuma. #Políticoshipócritas	[['Políticoshipócritas']]	PDL 232/2019	Negativo
98	Senadores hipócritas que não se preocupam com o desejo de seus eleitores,nos privam do mínimo direito a defesa enquanto andam de carros blindados e segurança armada.#SenadoVergonhaNacional	[['SenadoVergonhaNacional']]	PDL 232/2019	Negativo
99	a segurança é um dever do Estado, mas é um DIREITO DO CIDADÃO! #ArmasPelaVida	[['ArmasPelaVida']]	PDL 232/2019	Positivo
100	DIREITO à legítima defesa. O Estado faz a defesa social, eu QUERO TER O DIREITO de defender meu corpo físico,  bem como meu espaço de moradia e trabalho. #ArmasPelaVida	[['ArmasPelaVida']]	PDL 232/2019	Positivo
101	A PROPOSTA DE DERRUBAR O DECRETO ACABA COM A CHANCE DOS CIDADÃOS DE BEM PROTEGEREM A SI MESMO E SUA FAMÍLIA. #SOMOSMORO #B17	[['SOMOSMORO', 'B17']]	PDL 232/2019	Negativo
102	Sustar esse decreto é um atentado contra o cidadão de bem é dar aval ao bandido para fazer o quer. #ArmasPelaVida 	[['ArmasPelaVida']]	PDL 232/2019	Negativo
103	"RESPEITEM NOSSOS  DIREITOS, TEMOS DE NOS DEFENDER POIS O ESTADO NAO CONSEGUE. #EUAPOIODECRETODASARMAS.
"	[['EUAPOIODECRETODASARMAS']]	PDL 232/2019	Positivo
104	"""Todo poder emana do povo""...
Em 2005 o povo escolheu pela legítima defesa, e em 2018 o povo votou em Bolsonaro por causa da promessa de campanha... #SouaFavorDaLegitimaDefesa
"	[['SouaFavorDaLegitimaDefesa']]	PDL 232/2019	Negativo
105	Melhor ter uma arma e não precisar usar, do que precisar e não ter !! #aprovaja	[['aprovaja']]	PDL 232/2019	Positivo
106	Nenhum, esta reforma é uma sentença de morte ao trabalhador brasileiro, Em um país que o trabalhador de 50 anos não consegue se manter no mercado de trabalho por ser “Muito Velho”, não há como contribuir por 40 anos para ter aposentadoria integral #NãoaReformadaPrevidência	[['NãoaReformadaPrevidência']]	PEC 6/2019	Positivo
107	"Sem medo de morrer o bandido tira a sua vida, mas se ele sabe q a vida dele vai estar em jogo o sujeito vai pensar duas vezes antes de invadir...#17
"	[['17']]	PDL 232/2019	Positivo
108	Legítima defesa é um direito que nem deveria ser questionado!!! Os bandidos estão cada vez mais violentos e armados e o povo de bem tem o direito de tentar se proteger!!! #ArmasPelaVida	[['ArmasPelaVida']]	PDL 232/2019	Positivo
109	"Ponto negativo: Congressistas se acharem no direito de fazerem escolhas pelo povo. Nós os elegemos para votar a FAVOR das Reformas, do Pacote Anti-Corrupção do Moro e TAMBÉM  para termos direito à ""POSSE"" de armas, o cidadão #NÃO quer continuar a ser REFEM de bandidos. Chega!"	[['NÃO']]	PDL 232/2019	Negativo
110	O Direito a propriedade privada é uma  DIREITO NATURAL. Sem o direito de defesa da minha propriedade, não há propriedade privada. Não cabe a governo algum me privar de minha auto defesa. #Libertarianismo	[['Libertarianismo']]	PDL 232/2019	Negativo
111	O bandido tá armado e o cidadão de bem desarmado, o estado não deve interferir no meu direito de defesa pessoal e dos meus bens, minha família... #armaspraquemquer.	[['armaspraquemquer']]	PDL 232/2019	Positivo
112	Brasileiros já decidiram isso #REFERENDO2005	[['REFERENDO2005']]	PDL 232/2019	Positivo
113	Legítimo direito de defesa #ArmasParaQuemQuer	[['ArmasParaQuemQuer']]	PDL 232/2019	Positivo
114	"O PDL não respeita a vontade do povo de querer ter uma arma
#ArmasPelaVida"	[['ArmasPelaVida']]	PDL 232/2019	Negativo
115	Queremos voltar a ter o direito de nos defender de bandidos. #ArmasSim	[['ArmasSim']]	PDL 232/2019	Positivo
116	A posse de arma não quer dizer que o povo vai sair matando por aí e, o bandido não precisa saber que não a temos em casa...espeitarão mais o cidadão antes e adentrar a sua propriedade. #possedearmasim	[['possedearmasim']]	PDL 232/2019	Negativo
117	Os legisladores fazem questão do direito a segurança armada, eles não podem ser mais que o povo, tambem queremos o mesmo direito igualmente #LegitimaDefesa	[['LegitimaDefesa']]	PDL 232/2019	Negativo
118	"Direito a legítima defesa com a mesma força que os criminosos tem de te acatar! Sem demagogia, pois já exercíamos esse direito de posse e porte antes do estatuto do desarmamento e não acontecia o ""bang bang"" que tanto mencionam. #ArmasPelaVida"	[['ArmasPelaVida']]	PDL 232/2019	Positivo
119	"Se o ladrão for achado roubando, e for ferido, e morrer, o que o feriu não será culpado do sangue.

Êxodo 22:2

É Bíblico. #ArmasPelaVida

"	[['ArmasPelaVida']]	PDL 232/2019	Negativo
120	Não tem ponto positivo neste decreto. Na minha opnião o Congresso quer dessarmar o povo que paga seus impostos. #FORArodrigomaia_alcolumbre_e_Toffolli	[['FORArodrigomaia_alcolumbre_e_Toffolli']]	PDL 232/2019	Positivo
121	"Direitos humanos para humanos direitos.  #Mereço o direito a me defender...
"	[['Mereço']]	PDL 232/2019	Positivo
122	"É um direito Natural, assim como a vida.
Nem deveria haver desgaste com a discussão.
A esquerdalha vai ter que conformar.
Dia 30/06 nas Ruas e em Brasília.
Que se mantenha o Decreto Executivo da Presidência.
#MinhaArmaMinhaVida"	[['MinhaArmaMinhaVida']]	PDL 232/2019	Negativo
123	O ponto positivo do decreto presidencial todos...#queremosterdireitoanosdefender.	[['queremosterdireitoanosdefender']]	PDL 232/2019	Positivo
124	Vamos defender nossas famílias #armasparatodos	[['armasparatodos']]	PDL 232/2019	Positivo
125	"Respeitem a decisão do povo Brasileiro. Deixamos bem claro o que queremos no plebiscito.
Políticos querem segurança armado... E o povo, meros mortais não podem ter seu direito constitucional a legítima defesa?!
#cidadaoArmadojá"	[['cidadaoArmadojá']]	PDL 232/2019	Positivo
224	Nossa constituição não pode ser ferida, e essa pec é uma afronta, ninguém pode perpetuar-se no poder, #NãoaPec101	[['NãoaPec101']]	PEC 101/2003	Negativo
225	Não queremos comunismo. #ForaMaia	[['ForaMaia']]	PEC 101/2003	Negativo
226	Não queremos que um personagem de chaves continue na presidência da CD, muito menos como Presidente do Brasil! #ForaMaia	[['ForaMaia']]	PEC 101/2003	Negativo
227	"Fora parlamentarismo branco !!! #ForaMaia #ForaAlcolumbre
"	[['ForaMaia', 'ForaAlcolumbre']]	PEC 101/2003	Negativo
228	"A Quadrilha q se encontra atualmente no poder, tem q ser extirpada, e isso deve começar com os chefes deles. NÃO TEM REELEIÇÃO #FECHADOSCOMBOLSONARO
"	[['FECHADOSCOMBOLSONARO']]	PEC 101/2003	Negativo
229	"Democracia não eterniza poder! 
#ForaMaia"	[['ForaMaia']]	PEC 101/2003	Negativo
230	#NãoAPEC101	[['NãoAPEC101']]	PEC 101/2003	Negativo
231	"Sou Totalmente contra, a Pec 101 é uma Afronta à constituição, ninguém tem o direito de se perpetuar no poder
#NãoAPEC101"""	[['NãoAPEC101']]	PEC 101/2003	Negativo
232	Não há nenhum ponto positivo! Só a esperteza d um mal caráter, kerendo c dar bem! Chega a ser ridículo! Essa quadrilha não faz nada em benefício do povo... só deles mesmo! Chega! O povo tá cansado d viver c/ tanto abuso do NOSSO DINHEIRO! #ForaMaia	[['ForaMaia']]	PEC 101/2003	Positivo
233	Não se pode eternizar Presidentes da CD e SF por ser inconstitucional.  #foramaia	[['foramaia']]	PEC 101/2003	Negativo
234	"É casuístico! Não é do interesse da população e vai beneficiar um político com firtessuspeitasde envolvimento em esquemas de corrupção, além de ajudá-lo a derrubar um presudente democraticamente eleito!
#ForaMaia!"	[['ForaMaia']]	PEC 101/2003	Negativo
235	"Inconstitucional e Autoritaria. #ForaMaia #ForaAlcolumbre. 
Estão tentando ser  ditadores reeleição infinitas. Não ao CENTRÃO."	[['ForaMaia', 'ForaAlcolumbre']]	PEC 101/2003	Negativo
236	"#golpe à democracia.
"	[['golpe']]	PEC 101/2003	Negativo
237	#ForaMaia	[['ForaMaia']]	PEC 101/2003	Negativo
238	É uma afronta a democracia, por não aceitar o presidente legitimamente escolhido por mais de 57 milhões de brasileiros! #FechadosComBolsonaro	[['FechadosComBolsonaro']]	PEC 101/2003	Negativo
239	"Isso é um golpe contra um presidente legitimamente eleito por mais de 57 milhões de brasileiros. #ForaMaia
"	[['ForaMaia']]	PEC 101/2003	Negativo
240	Fere o regimento interno acordado desde 1988 e revela claramente o desejo na perpetuação do poder para interesses que não os nacionais. #ForaMaia	[['ForaMaia']]	PEC 101/2003	Negativo
241	"#ForaMaia
#ForaAlcolumbre"	[['ForaMaia', 'ForaAlcolumbre']]	PEC 101/2003	Negativo
243	"É dar munição aos corruptos, chega .
#Foramaia"	[['Foramaia']]	PEC 101/2003	Negativo
244	"Maia e alcolumbre vocês são a vergonha nacional.....
#foramaia
#foraalcolumbrelixo
"	[['foramaia', 'foraalcolumbrelixo']]	PEC 101/2003	Negativo
245	"Não existe democracia aonde corruptos tentam usar o sistema para se reeleger a cargos aonde não deveriam estar.

#RodrigoMaiaInimigoDoBrasil"	[['RodrigoMaiaInimigoDoBrasil']]	PEC 101/2003	Negativo
246	Absurda chantagem e autoritarismo escancarados... sem contar com o Péssimo histórico de família... #foramaia	[['foramaia']]	PEC 101/2003	Negativo
249	"Permitirá que o congresso que está aí empatando a vida dos brasileiros siga seu curso. O congresso pertence ao povo e não a estes falsos representantes. 
#ForaMaia #ForaAlcolumbre "	[['ForaMaia', 'ForaAlcolumbre']]	PEC 101/2003	Negativo
250	Não há ponto positivo para a população tampouco para a Casa Legislativa e o Senado. Onde essa eleição é definida por troca de favores e posições em comissões. #naoareeleicao	[['naoareeleicao']]	PEC 101/2003	Positivo
277	"Classifica uma Organizaçao que já foi classificada como Terrorista inclusive pelos Estados Unidos.
Dizer que é Anti-alguma coisa, nao significa realmente lutar contra aquilo. Este é um exemplo. Grupo Fascista Fingindo ser Anti-Fascista.
Os Grupos ANTIFASs são ligados e treinados pelo Estado Islâmico. 

#AntifaTERRORISTA"	[['AntifaTERRORISTA']]	PL 3019/2020	Positivo
278	"""Proibir qualquer forma de manifestação desde que seja pacífica e sem violência ou dano a patrimônio público é antidemocrático e vai totalmente na contra mão da liberdade de expressão!
Enviado por Peter Cordeiro""

^-- Isso aí foi uma piada??? Onde que essas ""manifestações"" foram do jeito que esse comentarista disse??? #AntifaTERRORISTA"	[['AntifaTERRORISTA']]	PL 3019/2020	Negativo
279	A proposta deseja incluir grupos que estão lutando em defesa da democracia como terroristas, isso vai completamente contra a liberdade de expressão e o livre direito à manifestação. Quanto as pessoas que usam da manifestação para realizar ataques, agressões e tudo mais existem meios para coibir tudo isso. #Antifaspelademocracia 	[['Antifaspelademocracia']]	PL 3019/2020	Negativo
280	"Prender terroristas livrando a sociedade desses lixos, que ficam escondidos só esperando algo que vá contra suas sanhas de bandidos para ""protestarem"" e atacarem inocentes! EU APOIO 1000% #ANTIFASTerroristas 
"	[['ANTIFASTerroristas']]	PL 3019/2020	Positivo
281	"Meu total apoio. Projeto veio para acabar com um ""braço"" desse grupo terrorista aqui no Brasil. Sim esse grupo não nasceu aqui e, acreditem, você que torce a favor deles, o que poderá fazer quando eles atacarem você? Então não seja imprudente. #AntifasNao"	[['AntifasNao']]	PL 3019/2020	Positivo
282	Antifas são terroristas e querem trazer baderna ao Brasil #AntifaTERRORISTA 	[['AntifaTERRORISTA']]	PL 3019/2020	Positivo
283	Qualquer ato antidemocratico é dever do Povo repudiar Afinal Todos devem mostrar suas opiniões transformar uma comunidade que Visa combater atos incongruentes O que é o que o fascismo faz é crime sim #discordototalmente 	[['discordototalmente']]	PL 3019/2020	Negativo
285	"Fica a dica povo brasileiro!

Exclusão de ilicitude - Código Penal

Art. 23 - Não há crime quando o agente pratica o fato:

I - em estado de necessidade

II - EM LEGÍTIMA DEFESA (sua ou de outrem)

Não seremos intimidados por NINGUÉM!

#AntifaTERRORISTA "	[['AntifaTERRORISTA']]	PL 3019/2020	Positivo
286	Positivo, pois não podemos ficar parados enquanto esse grupinho terrorista simplesmente quebram lojas, departamentos públicos, queimam carros e espancam quem não os apoiam. #AntifasTerroristas 	[['AntifasTerroristas']]	PL 3019/2020	Positivo
287	"ANTIFA É TERRORISMO!
COMUNISMO É CRIME! 
CURITIBA LUTE CONTRA ESSES CRIMINOSOS!
AQUI COMUNISTA NÃO TEM VEZ!
#AntifaTERROTISTA"	[['AntifaTERROTISTA']]	PL 3019/2020	Positivo
288	"Não é assim que se reivindica algo , isso é bandidagem , gente que não tem o que fazer #foraantifas
"	[['foraantifas']]	PL 3019/2020	Positivo
289	Absurdo criminalizar wuem pensa diferente. Vivemos uma #DEMOCRACIA  	[['DEMOCRACIA']]	PL 3019/2020	Negativo
290	"É uma proposta q apoia o fascismo, a violência, a intolerância e a corrupção.

#foraBolsonaro
"	[['foraBolsonaro']]	PL 3019/2020	Negativo
291	Só porque um movimento se declara algo não quer dizer que ele é, brasileiros conseguem realizar reivindicações de forma pacífico, e já foi mais do que demonstrado não só no Brasil que os recursos desse grupo é a violência (pesquisa rápida das hastags ligadas a esse grupo são violentas coisas como ex:#f*g*nosracis*** independente da intenção é violento)	[['f']]	PL 3019/2020	Positivo
292	Projeto completamente inconstitucional e anti-democrático. #ForaBolsonaro 	[['ForaBolsonaro']]	PL 3019/2020	Positivo
293	"Se protestar contra facismo for terrorismo, pagar propina e ver gente morrer sem oposição aos ""teroristas"" vira lei

#DISCORDEPL3019 #sempoliticodeestimacao #pl3019nao #antifascismo #antifascista #liberdadesdemocraticas #lutarnãoécrime #abaixopl3019 #PL3019nao #democracia #PL3019 #PL30192020"	[['DISCORDEPL3019', 'sempoliticodeestimacao', 'pl3019nao', 'antifascismo', 'antifascista', 'liberdadesdemocraticas', 'lutarnãoécrime', 'abaixopl3019', 'PL3019nao', 'democracia', 'PL3019', 'PL30192020']]	PL 3019/2020	Negativo
294	Punição pra quem se utiliza de ações e movimentos democráticos para causar barbáries... #PUNIÇÃOJá	[['PUNIÇÃOJá']]	PL 3019/2020	Positivo
296	Um grupo que depreda patrimônio público e privado, que coloca em risco as vidas de pessoas, que não respeita a manifestação pacífica de outro grupo contrário. Não deve em HIPÓTESE alguma ser considerado um Grupo 'Democrático', apenas são fascistas que querem impor a sua própria pauta facista. Por isso, sou TOTALAMENTE A FAVOR DO PROJETO! #AntifasGrupoTerroristaSIM 	[['AntifasGrupoTerroristaSIM']]	PL 3019/2020	Positivo
298	Só pra lembrar esse movimento nasceu na Alemanha nazistas provando que o nazismo era de esquerda #ComBolsonaroAteoFim	[['ComBolsonaroAteoFim']]	PL 3019/2020	Positivo
299	Tudo, criminalizar o direito que nos temos de expor nosso posicionamento, o presidente representa um país, mas o Jair Bolsonaro não me representa #fora_bolsonaro.. 	[['fora_bolsonaro']]	PL 3019/2020	Negativo
300	Vai contra a liberdade de expressão, o direito de protestos e é antidemocrático. #FaulmensiAbdano	[['FaulmensiAbdano']]	PL 3019/2020	Negativo
301	Uma PL que ataca o antifascismo é uma lei fascista. Logo,  #forafascismo #ForaBolsonaro #juntos #Somos70porcento	[['forafascismo', 'ForaBolsonaro', 'juntos', 'Somos70porcento']]	PL 3019/2020	Negativo
303	Esse projeto de lei é uma vergonha para o país e é um ataque claro a democracia. Deveria incluir os facistas, eles que são os terroristas e genocidas. #TodosContraOFacismo 	[['TodosContraOFacismo']]	PL 3019/2020	Negativo
304	"Vandalismo e agressões nunca serão uma forma democrática de protestar, para nenhum dos lados. O que vimos nesses últimos dias foram vândalos disfarçados de movimento pela democracia, depredando cidades, agredindo mulheres e idosos e destruindo a bandeira nacional. 
#AntifaTERRORISTA"	[['AntifaTERRORISTA']]	PL 3019/2020	Positivo
305	Onde está a turma que defende o #fiqueemcasa? Além disto defender a 'democracia' ou a 'liberdade de expressão' nunca foi pretexto para quebrar e pilhar. Antifa/blackclock é uma desculpa para afastar manifestantes pacíficos, de um lado ou de outro.  São terroristas sim, e a tática sempre foi assustar os outros pela violência gratuita.	[['fiqueemcasa']]	PL 3019/2020	Positivo
306	"Preciso falar alguma coisa além do óbvio? Condenar como terrorismo movimentos antifacistas é facismo e antidemocrático! 
#BLACKLIVESMATTER"	[['BLACKLIVESMATTER']]	PL 3019/2020	Negativo
307	Criminalizar manifestações contrárias aos ataques feitos a pessoas não brancas, a cidadãos e cidadãs de religiões não cristãs, a mulheres que lutam por igualdade de direitos e a pessoas LGBTQI+ é um ABSURDO - é querer impor uma agenda fascista a toda uma nação que não partilha dessas ideias. #somossetentaporcento!	[['somossetentaporcento']]	PL 3019/2020	Negativo
308	"Nenhum  isso é antidemocrático, e anticonstitucional a constituição garante que o povo tem direito a livre manifestação e liberdade de expressão, terrorismo é esse desgoverno que veta ao próprio povo o mínimo sobre saúde e educação, terrorismo é esse governo q defende assassinos e bandidos de colarinho.
#ForaFascista"	[['ForaFascista']]	PL 3019/2020	Positivo
309	Antifa é abreviação de Antifascista. Se você é contra o Antifa, você é fascista. Questão de lógica. Fascismo vai ser combatido sim! Viva a democracia #vidasnegrasimportam 	[['vidasnegrasimportam']]	PL 3019/2020	Negativo
311	"Esse projeto vem justamente com o fascismo escancarado para calar a maior parte do povo brasileiro que é contra esse desgoverno. #somos70porcento
Antifascimo não significa terrorismo."	[['somos70porcento']]	PL 3019/2020	Negativo
315	"Proposta antidemocrática. 
O fascismo deve ser combatido e evitado em uma democracia.

#ForaBolsonaro"	[['ForaBolsonaro']]	PL 3019/2020	Negativo
316	"Esses grupos visam desestabilizar a ordem pública e tratando-se como terroristas serão submetidos a lei e ordem.
#ForaAntifacistas "	[['ForaAntifacistas']]	PL 3019/2020	Positivo
